Parameter name,HW Name ,Description,Arch comments,Implementation comments,per Device/port/VL,Spec Size,HW Size,Counting Unit,Generating Unit,Units,CX-7,CX-8,QM-2,QM-3,SP-5,GB100,GR100,MAD Class,Attribute ID,Attribute Name,Field name,PRM reg ID,PRM register,PRM Group / page,PRM field,BMC (command.field),Supported HW intefaces ,Frequency changes,Verified or not
SymbolErrorCounter,symbol_errors,"Total number of minor link errors detected on one or more physical lanes. Refer to the InfiniBand Architecture Specification, Volume 2, Link/Phy Interface.",,,Port,"16
64",64,PLU,PLU,Blocks,V,V,V,V,V,V,V,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",SymbolErrorCounter,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute",symbol_error_counter,,,,
LinkErrorRecoveryCounter,link_error_recovery,"Total number of times the Port Training state machine has successfully completed the link error recovery process. Refer to the InfiniBand Architecture Specification, Volume 2, Link/Phy Interface.",,,Port,"8
64",64,PLU,PLU,Events,V,V,V,V,V,V,V,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",LinkErrorRecoveryCounter,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute",link_error_recovery_counter,,,,
LinkDownedCounter,link_downed_counter,"Total number of times the Port Training state machine has failed the link error recovery process and downed the link. Refer to the InfiniBand Architecture Specification, Volume 2, Link/Phy Interface.",,,Port,"8
64",64,PLU,PLU,Events,V,V,V,V,V,V,V,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",LinkDownedCounter,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute",link_downed_counter,,,,
PortRcvErrors,port_rcv_err_inc,"Total number of packets containing an error that were received on the port. These errors include:
• Local physical errors (ICRC, VCRC, LPCRC, and all physical errors that cause entry into the BAD PACKET or BAD PACKET DISCARD states of the packet receiver state machine)
• Malformed data packet errors (LVer, length, VL)
• Malformed link packet errors (operand, length, VL)
• Packets discarded due to buffer overrun",,,Port,"16
64",64,LLU,PLU,Packets,V,V,V,V,V,V,V,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",PortRcvErrors,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute",port_rcv_errors,,,,
PortRcvRemotePhysicalErrors,ebp_cnt_inc,Total number of packets marked with the EBP delimiter received on the port.,,EBP,Port,"16
64",64,LLU,LLU,Events,V,V,V,V,V,V,V,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",PortRcvRemotePhysicalErrors,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute","
port_rcv_remote_physical_errors",,,,
PortRcvSwitchRelayErrors,port_dlid_mapping_err_inc,"Total number of packets received on the port that were discarded because they could not be forwarded by the switch relay. Reasons for this include:
• DLID mapping 
• VL mapping
• Looping (output port = input port)","Includes DLID mapping, VL mapping, Looping.
VL mapping - notice that the counter is an RX counter. MC - no copy of the packet was transmitted due to VL mapping issues.
Routed packets should be counted on the router port (see router port counters)",,Port,"16
64",64,FDB,"LLU - link dlid check (llu counter: port_dlid_mapping)
FDB - discard reasons: PortDlidMapping, LB_Discard, PortVlMapping (via DCM) 

SMA - missing counter, see https://redmine.mellanox.com/issues/3451407",Packets,V,V,V,V,V,V,V,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",PortRcvSwitchRelayErrors,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute",port_rcv_switch_relay_errors,,,,
PortXmitDiscard,port_xmit_discard,"Total number of outbound packets discarded by the port because the port is down or congested. Reasons for this include:
• Output port is not in the active state
• Packet length exceeded NeighborMTU
• Switch Lifetime Limit exceeded
• Switch HOQ Lifetime Limit exceeded 
This may also include packets discarded while in VLStalled State.",,DCM generate the INC and LLU counts it,Port,"16
64",64,LLU,"LLU - link dlid check (llu counter: port_dlid_mapping)
FDB - discard reasons: PortDlidMapping, LB_Discard, PortVlMapping (via DCM) 

SMA - missing counter, see https://redmine.mellanox.com/issues/3451407",Packets,V,V,V,V,V,V,V,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",PortXmitDiscard,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute",port_xmit_discards,,,,
PortXmitConstraintErrors,port_xmit_constraint_errors,"Total number of packets not transmitted from the switch physical port for the following reasons:
• FilterRawOutbound is true and packet is raw
• PartitionEnforcementOutbound is true and packet fails partition key check or IP version check","PKey Error, Raw filter, Ipver (no NxtHdr)",DCM generate the INC and LLU counts it,Port,"8
64",64,LLU,DCM - pkey error/raw/ipver,Packets,-,-,V,V,V,-,-,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",PortXmitConstraintErrors,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute",port_xmit_constraint_errors,,,,
PortRcvConstraintErrors,port_rcv_constraint_err_inc,"Total number of packets received on the switch physical port that are discarded for the following reasons:
• FilterRawInbound is true and packet is raw
• PartitionEnforcementInbound is true and packet fails partition key check or IP version check","PKey Error, Raw filter, Ipver, Config (disabled default): GRH.NxtHdr","FW: For switches, if pkey check is enabled then pkey check includes ipver. For router, Ipver is always included (need to add this to IBTA spec). GRH.NxtHdr is not in spec (March 2014)",Port,"8
64",64,LLU,LLU,Packets,V,V,V,V,V,-,-,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",PortRcvConstraintErrors,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute",port_rcv_constraint_errors,,,,
LocalLinkIntegrityErrors,local_link_integrity_err_inc,The number of times that the count of local physical errors exceeded the threshold specified by LocalPhyErrors;,,,Port,"4
64",64,LLU,LLU,Events,V,V,V,V,V,V,V,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",LocalLinkIntegrityErrors,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute",local_link_integrity_errors,,,,
